,item,item_name,era,style,gender,season,tpo,fit,brightness,temperature,weight,nice_nice,nice_no,urban_no,urban_urban,trendy_no,trendy_trendy,sophisticated_no,sophisticated_sophisticated,clean_clean,clean_no,magnificent_magnificent,magnificent_no,unique_no,unique_unique,easy_easy,easy_no,open_no,open_open mined,practical_no,practical_practical,activity_activity,activity_no,comfortable_comfortable,comfortable_no,bubbly_bubbly,bubbly_no,feminine_feminine,feminine_no,manly_manly,manly_no,soft_no,soft_soft
0,0,W_00002_60_mods_M.jpg,1960,mods,M,spring fall,attendance,tight,bright,warm,light,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0
1,1,W_00003_50_ivy_M.jpg,1950,ivy,M,spring fall winter,attendance event,appropriate loose,dark,cold warm,heavy light,1,1,1,1,1,0,1,1,1,0,0,1,1,0,1,1,1,0,1,0,0,1,1,1,0,1,0,1,1,0,1,0
2,2,W_00004_50_ivy_M.jpg,1950,ivy,M,spring fall,attendance,appropriate,bright,warm,light,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0
3,3,W_00005_60_mods_M.jpg,1960,mods,M,spring fall winter,social gathering,appropriate loose,bright dark,cold warm,heavy light,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0
4,4,W_00007_60_mods_M.jpg,1960,mods,M,spring fall,attendance event,appropriate tight,bright dark,cold warm,heavy light,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,1,0,1,1,1,0,1,1,1,1,0
5,5,W_00008_19_normcore_M.jpg,2019,normcore,M,winter,daily,appropriate,bright,warm,light,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1
6,6,W_00010_50_ivy_M.jpg,1950,ivy,M,spring fall winter,attendance event,appropriate,dark,cold,heavy,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0
7,7,W_00011_80_bold_M.jpg,1980,bold,M,spring fall,social gathering,loose,dark,cold,heavy,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0
8,8,W_00012_50_ivy_M.jpg,1950,ivy,M,spring fall,attendance daily,appropriate,bright dark,cold warm,heavy light,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,0,1,0,0,1,1,1,0,1,0,1,1,1,1,0
9,9,W_00013_19_normcore_M.jpg,2019,normcore,M,spring fall,daily,appropriate,dark,warm,light,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1
10,10,W_00014_60_mods_M.jpg,1960,mods,M,spring fall,event,tight,dark,cold,heavy,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0
11,11,W_00015_50_ivy_M.jpg,1950,ivy,M,spring fall summer,attendance daily date event,appropriate loose,bright dark,cold warm,heavy light,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
12,12,W_00016_50_ivy_M.jpg,1950,ivy,M,spring fall,attendance,appropriate loose,bright dark,cold warm,heavy light,0,1,1,0,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,0
13,13,W_00017_60_mods_M.jpg,1960,mods,M,spring fall,attendance,appropriate,dark,warm,heavy,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0
14,14,W_00018_60_mods_M.jpg,1960,mods,M,spring fall winter,event social trip vacation,appropriate,dark,cold warm,heavy,1,1,0,1,0,1,0,1,0,1,0,1,1,0,1,1,1,0,1,0,1,1,0,1,0,1,0,1,1,1,1,0
15,15,W_00019_19_normcore_M.jpg,2019,normcore,M,spring fall,daily,appropriate,bright,warm,heavy,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0
16,16,W_00020_60_mods_M.jpg,1960,mods,M,spring fall summer,attendance date,appropriate tight,dark,cold warm,heavy light,1,1,0,1,1,0,1,1,0,1,0,1,1,0,0,1,1,0,1,1,0,1,0,1,0,1,0,1,1,1,1,0
17,17,W_00021_19_normcore_M.jpg,2019,normcore,M,summer,social trip vacation,appropriate,bright,warm,light,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0
18,18,W_00022_60_mods_M.jpg,1960,mods,M,spring fall,social gathering,appropriate,bright,warm,light,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0
19,19,W_00023_60_mods_M.jpg,1960,mods,M,spring fall,attendance,appropriate tight,dark,cold,heavy,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,0
20,20,W_00024_60_mods_M.jpg,1960,mods,M,spring fall,attendance,tight,dark,cold,heavy,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0
21,21,W_00025_60_mods_M.jpg,1960,mods,M,spring fall summer,attendance event,appropriate loose tight,bright dark,cold,heavy light,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,0
22,22,W_00026_10_sportivecasual_M.jpg,2010,sportivecasual,M,summer,daily leisure sports,appropriate loose,bright dark,cold warm,light,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,0,1,1,1,1,0
23,23,W_00027_50_ivy_M.jpg,1950,ivy,M,spring fall,attendance,tight,bright dark,cold warm,light,0,1,1,0,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,0,0,1,1,1,0,1,0,1,1,1,1,1
24,24,W_00028_50_ivy_M.jpg,1950,ivy,M,spring fall,attendance daily social gathering,appropriate tight,bright,cold,heavy light,0,1,1,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,1,1,0
25,25,W_00029_60_mods_M.jpg,1960,mods,M,spring fall winter,attendance event social gathering,appropriate,dark,cold,heavy,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,1,0,1,0,1,0,1,1,1,1,0
26,26,W_00030_60_mods_M.jpg,1960,mods,M,spring fall,event,appropriate,dark,cold,heavy,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0
27,27,W_00031_50_ivy_M.jpg,1950,ivy,M,spring fall,social gathering,appropriate,dark,cold,heavy,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0
28,28,W_00034_60_mods_M.jpg,1960,mods,M,spring fall,event,appropriate,bright,cold,heavy,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0
29,29,W_00035_50_ivy_M.jpg,1950,ivy,M,spring fall summer,daily etc leisure sports,appropriate loose,bright,cold warm,heavy light,0,1,1,0,1,0,1,0,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1
30,30,W_00036_50_ivy_M.jpg,1950,ivy,M,spring fall,attendance date event,appropriate tight,bright,cold warm,heavy light,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,0
31,31,W_00037_70_hippie_M.jpg,1970,hippie,M,spring fall,daily,tight,bright,cold,light,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0
32,32,W_00038_60_mods_M.jpg,1960,mods,M,spring fall,social gathering,appropriate,bright,warm,light,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0
33,33,W_00039_60_mods_M.jpg,1960,mods,M,spring fall,social gathering,appropriate,bright,warm,light,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0
34,34,W_00040_90_hiphop_M.jpg,1990,hiphop,M,spring fall summer,daily social gathering,appropriate loose,bright,warm,light,0,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,0,1,0,1,1,0
35,35,W_00041_70_hippie_M.jpg,1970,hippie,M,spring fall,date,appropriate,bright,cold,heavy,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1
36,36,W_00042_00_metrosexual_M.jpg,2000,metrosexual,M,spring fall,social gathering,appropriate tight,dark,cold warm,heavy light,0,1,1,0,1,1,1,0,0,1,1,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,1,1,0
37,37,W_00043_70_hippie_M.jpg,1970,hippie,M,spring fall summer,date social gathering social trip vacation,appropriate loose,bright,cold warm,light,0,1,1,0,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0
38,38,W_00045_90_hiphop_M.jpg,1990,hiphop,M,spring fall,daily,appropriate,bright,cold,light,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,1,1,0
39,39,W_00046_70_hippie_M.jpg,1970,hippie,M,spring fall,daily date,appropriate tight,bright,cold,light,0,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,0
40,40,W_00048_70_hippie_M.jpg,1970,hippie,M,spring fall summer,daily social trip vacation,appropriate tight,bright,warm,light,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,0
41,41,W_00049_80_bold_M.jpg,1980,bold,M,spring fall,daily,appropriate,bright,warm,light,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0
42,42,W_00050_10_sportivecasual_M.jpg,2010,sportivecasual,M,winter,leisure sports,appropriate,dark,cold,light,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0
43,43,W_00051_10_sportivecasual_M.jpg,2010,sportivecasual,M,summer,daily,appropriate,bright,cold,light,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,1,0
44,44,W_00053_60_mods_M.jpg,1960,mods,M,winter,daily,appropriate,dark,warm,heavy,1,0,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0
45,45,W_00055_19_normcore_M.jpg,2019,normcore,M,spring fall,daily,appropriate,bright,warm,light,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0
46,46,W_00056_00_metrosexual_M.jpg,2000,metrosexual,M,summer,daily social gathering,tight,bright,cold,light,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0
47,47,W_00057_00_metrosexual_M.jpg,2000,metrosexual,M,summer,date,appropriate,bright,warm,light,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0
48,48,W_00058_70_hippie_M.jpg,1970,hippie,M,spring fall,daily social gathering,appropriate,bright dark,warm,light,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,0,0,1,0,1,0,1,0,1,1,1,1,0
