,user,item,rate
0,590,197,3.0
1,590,236,1.5
2,590,553,1.5
3,590,2172,1.5
4,590,3735,3.0
5,590,213,1.0
6,590,589,1.0
7,590,314,2.5
8,590,414,1.5
9,590,2212,1.0
10,590,4524,1.0
11,590,4667,2.5
12,590,4709,2.5
13,590,366,3.0
14,590,368,2.5
15,590,457,1.5
16,590,4768,2.5
17,590,5309,1.0
18,590,642,1.5
19,590,2069,1.0
20,590,2072,3.0
21,590,696,1.5
22,590,2217,1.5
23,590,3525,1.0
24,590,4942,1.0
25,590,5299,1.5
26,590,1778,1.5
27,590,1914,1.0
28,590,1049,3.0
29,590,2681,3.0
30,590,2727,3.0
31,590,4749,3.0
32,590,5307,1.0
33,1403,114,2.5
34,1403,156,2.5
35,1403,228,4.0
36,1403,1742,1.5
37,1403,3354,2.5
38,1403,3735,2.5
39,1403,660,3.0
40,1403,1206,1.5
41,1403,2785,2.5
42,1403,1955,3.0
43,1403,2317,2.5
44,1403,4708,1.5
45,1403,4829,1.0
46,1403,5231,1.5
47,1403,4765,2.5
48,1403,5157,3.0
49,1403,652,3.0
50,1403,2141,3.5
51,1403,4728,2.5
52,1403,237,1.0
53,1403,1038,3.0
54,1403,1887,1.5
55,1403,2732,2.0
56,1403,3633,1.0
57,1403,1089,1.5
58,1403,1176,2.0
59,1403,5119,4.0
60,1403,5151,2.0
61,1403,381,3.0
62,1403,1220,3.0
63,1403,2173,3.0
64,1403,3688,4.0
65,1403,3766,4.0
66,1403,5013,4.0
67,2305,144,2.0
68,2305,1758,2.0
69,2305,1788,1.0
70,2305,2133,1.0
71,2305,2952,2.5
72,2305,3491,2.0
73,2305,3735,2.0
74,2305,536,2.0
75,2305,549,2.0
76,2305,567,1.0
77,2305,591,1.0
78,2305,312,2.0
79,2305,2808,2.0
80,2305,4525,2.0
81,2305,376,1.0
82,2305,410,1.0
83,2305,420,3.0
84,2305,4735,3.0
85,2305,707,3.0
86,2305,755,1.0
87,2305,1106,2.0
88,2305,640,1.0
89,2305,1892,2.0
90,2305,1933,2.0
91,2305,2220,2.0
92,2305,3494,1.0
93,2305,4975,3.0
94,2305,1190,1.0
95,2305,5108,1.0
96,2305,5151,1.0
97,2305,976,2.0
98,2305,3760,3.0
99,2305,3769,3.0
100,2305,5091,1.0
101,8530,2112,3.5
102,8530,2901,2.5
103,8530,3447,3.0
104,8530,108,1.5
105,8530,549,1.0
106,8530,1675,1.5
107,8530,310,1.0
108,8530,2238,1.0
109,8530,4660,1.0
110,8530,4774,1.0
111,8530,4834,3.0
112,8530,368,2.5
113,8530,425,2.5
114,8530,4786,3.0
115,8530,5161,3.0
116,8530,723,3.0
117,8530,4874,1.5
118,8530,666,1.0
119,8530,1175,2.5
120,8530,1770,1.0
121,8530,1856,1.0
122,8530,3441,1.0
123,8530,684,1.0
124,8530,1065,3.0
125,8530,5093,1.0
126,8530,5196,2.5
127,8530,997,3.0
128,8530,1037,2.0
129,8530,1911,3.0
130,8530,2310,3.0
131,8530,5199,2.0
132,14389,1867,3.0
133,14389,2765,1.5
134,14389,2819,4.0
135,14389,309,3.0
136,14389,594,3.0
137,14389,597,1.0
138,14389,2818,3.0
139,14389,183,2.0
140,14389,233,3.0
141,14389,682,1.5
142,14389,4688,3.5
143,14389,5041,2.0
144,14389,393,2.5
145,14389,446,2.0
146,14389,753,3.0
147,14389,635,1.0
148,14389,991,2.0
149,14389,5034,2.5
150,14389,273,2.0
151,14389,636,1.0
152,14389,2348,1.5
153,14389,3588,2.0
154,14389,4967,2.5
155,14389,708,1.0
156,14389,1103,3.0
157,14389,1118,1.0
158,14389,1137,2.0
159,14389,1161,1.0
160,14389,1231,3.0
161,14389,1913,1.0
162,14389,3684,2.5
163,14389,4746,4.0
164,14389,4827,2.5
165,16230,166,3.0
166,16230,2710,3.0
167,16230,2749,1.0
168,16230,4357,1.0
169,16230,592,2.5
170,16230,1978,2.0
171,16230,2834,2.5
172,16230,445,3.0
173,16230,604,1.0
174,16230,681,2.5
175,16230,2166,3.0
176,16230,2823,3.0
177,16230,4440,2.5
178,16230,364,2.0
179,16230,4733,3.0
180,16230,634,2.0
181,16230,642,2.5
182,16230,745,1.0
183,16230,4861,1.0
184,16230,4873,1.0
185,16230,177,2.0
186,16230,661,3.0
187,16230,726,1.5
188,16230,1656,1.0
189,16230,3537,2.0
190,16230,4495,3.0
191,16230,1102,3.0
192,16230,1121,3.0
193,16230,5143,2.0
194,16230,838,1.0
195,16230,1956,2.5
196,16230,5282,1.0
197,18587,149,2.0
198,18587,1849,2.5
199,18587,2342,4.0
200,18587,2824,3.0
201,18587,2840,3.0
202,18587,1015,2.0
203,18587,1795,3.5
204,18587,2233,1.0
205,18587,121,2.0
206,18587,427,3.5
207,18587,442,2.0
208,18587,1226,2.0
209,18587,4854,1.5
210,18587,4867,1.0
211,18587,4873,1.5
212,18587,1198,1.0
213,18587,2208,1.0
214,18587,2315,2.5
215,18587,4785,1.5
216,18587,5037,2.5
217,18587,5046,1.0
218,18587,1134,1.5
219,18587,1150,1.5
220,18587,5131,3.0
221,18587,5142,1.5
222,18587,5238,2.0
223,18587,936,1.0
224,18587,3683,3.0
225,18587,4917,1.5
226,18587,4968,3.0
227,18587,5202,2.0
228,18886,225,3.0
