,user,user_name,r_gender,age
0,0,590,2,3
1,1,1403,2,1
2,2,2305,2,1
3,3,8530,2,4
4,4,14389,2,3
5,5,16230,2,3
6,6,18587,2,1
7,7,18886,2,2
8,8,20359,2,2
9,9,20794,2,2
10,10,21295,2,3
11,11,22962,2,3
12,12,23480,2,3
13,13,24164,2,3
14,14,24588,2,4
15,15,25033,2,3
16,16,25406,2,4
17,17,25931,2,3
18,18,26026,2,3
19,19,26219,2,3
20,20,26823,2,2
21,21,29983,2,3
22,22,30998,2,2
23,23,42514,2,2
24,24,45465,2,1
25,25,46471,2,2
26,26,48985,2,3
27,27,49046,2,1
28,28,50570,2,1
29,29,57595,2,2
30,30,58138,2,3
31,31,58334,2,1
32,32,58350,2,4
33,33,58501,2,1
34,34,58607,2,3
35,35,58725,2,2
36,36,58823,2,2
37,37,59794,2,1
38,38,59686,2,1
39,39,133,1,2
40,40,283,2,1
41,41,1012,2,3
42,42,1022,2,2
43,43,1268,1,2
44,44,1512,2,3
45,45,1513,2,3
46,46,1892,2,2
47,47,1967,2,4
48,48,1968,2,4
49,49,1969,2,4
50,50,1978,2,4
51,51,1988,2,4
52,52,1989,1,4
53,53,1991,2,4
54,54,1994,2,4
55,55,1995,2,1
56,56,1998,2,4
57,57,1999,2,4
58,58,2000,2,4
59,59,2007,2,4
60,60,2020,2,4
61,61,2026,2,4
62,62,2177,2,3
63,63,2254,2,4
64,64,2309,2,4
65,65,2320,2,4
66,66,2326,2,4
67,67,2337,2,4
68,68,2386,1,3
69,69,2628,2,2
70,70,2689,2,3
71,71,2768,2,4
72,72,2793,2,4
73,73,3109,2,4
74,74,3230,2,2
75,75,3634,2,2
76,76,3691,2,3
77,77,3752,2,4
78,78,3792,2,3
79,79,3903,2,1
80,80,4143,2,3
81,81,4154,2,2
82,82,4596,2,4
83,83,4603,2,3
84,84,4617,2,2
85,85,4750,1,3
86,86,4843,1,3
87,87,4978,2,2
88,88,5112,2,4
89,89,5344,2,2
90,90,5409,2,2
91,91,5591,2,3
92,92,6074,2,4
93,93,6248,1,4
94,94,6505,1,3
95,95,6712,2,3
96,96,6792,2,3
97,97,6917,2,3
98,98,7009,2,2
99,99,7321,2,1
100,100,7494,2,3
101,101,8946,2,3
102,102,9096,2,2
103,103,9181,2,1
104,104,9415,2,2
105,105,9560,2,4
106,106,9569,2,3
107,107,12037,2,3
108,108,12124,1,2
109,109,12204,2,1
110,110,12348,2,3
111,111,12509,2,1
112,112,12601,2,3
113,113,13238,2,3
114,114,14635,2,2
115,115,14902,2,2
116,116,15251,1,1
117,117,15456,2,1
118,118,15569,2,3
119,119,15768,2,2
120,120,16122,2,4
121,121,16217,2,4
122,122,16448,2,2
123,123,16657,2,2
124,124,16749,1,2
125,125,17223,2,4
126,126,17349,1,4
127,127,17465,1,1
128,128,17742,2,3
129,129,17934,2,1
130,130,17951,2,4
131,131,18262,1,1
132,132,18416,2,3
133,133,18437,2,3
134,134,18588,1,2
135,135,18594,2,3
136,136,18595,2,4
137,137,18647,2,4
138,138,18667,1,1
139,139,18706,2,3
140,140,18715,2,4
141,141,18730,1,4
142,142,18766,2,4
143,143,18787,2,3
144,144,18870,2,1
